name,clean_mode,fit_count,status,weight_mode,test_mra_percent,train_mra_percent,test_p75_count,test_benefit,test_tie,test_harm,test_switch_delta_sum,threshold,far_guard_proxy,far_guard_threshold
quality_loose:gbrt_delta:far_guard,quality_loose,593,ok,delta,32.224938875305625,31.823035850495806,118,32,47,39,3.799999999999999,0.08765559069421575,p75,2.5
quality_strict:xgb_delta:delta_quality,quality_strict,390,ok,delta_quality,32.224938875305625,30.488176964149506,27,13,3,11,3.8000000000000003,0.16075697390339042,,
non_tie_quality_strict:decision_tree_delta_d2:delta_quality,non_tie_quality_strict,185,ok,delta_quality,32.224938875305625,30.640732265446225,131,39,38,54,3.7999999999999976,0.21856584734161139,,
non_tie_quality_strict:decision_tree_delta_d2:far_guard:delta_quality,non_tie_quality_strict,185,ok,delta_quality,32.224938875305625,30.640732265446225,131,39,38,54,3.7999999999999976,0.21856584734161139,,
non_tie_quality_strict:decision_tree_delta_d3:delta_quality,non_tie_quality_strict,185,ok,delta_quality,32.224938875305625,30.640732265446225,131,39,38,54,3.7999999999999976,0.28132319712223697,,
non_tie_quality_strict:decision_tree_delta_d3:far_guard:delta_quality,non_tie_quality_strict,185,ok,delta_quality,32.224938875305625,30.640732265446225,131,39,38,54,3.7999999999999976,0.28132319712223697,,
non_tie:logistic_switch:delta_quality,non_tie,509,ok,delta_quality,32.20048899755501,31.189931350114414,235,57,90,88,3.5999999999999974,0.6349364539771971,,
switch_relevant:logistic_switch:delta_quality,switch_relevant,509,ok,delta_quality,32.20048899755501,31.189931350114414,235,57,90,88,3.5999999999999974,0.6349364539771971,,
drop_far_proxy:lgbm_delta,drop_far_proxy,1297,ok,delta,32.20048899755501,32.1815408085431,136,37,47,52,3.5999999999999983,0.05757431943385756,,
quality_loose:logistic_switch:far_guard:quality,quality_loose,593,ok,quality,32.20048899755501,30.831426392067122,114,40,24,50,3.5999999999999996,0.5882555438380704,p75,2.5
quality_loose:lgbm_delta:quality,quality_loose,593,ok,quality,32.20048899755501,32.02135774218154,110,35,34,41,3.5999999999999988,0.007309148095144547,,
quality_loose:lgbm_delta:far_guard:quality,quality_loose,593,ok,quality,32.20048899755501,32.051868802440886,109,35,33,41,3.5999999999999988,0.007309148095144551,p75,3.0
non_tie_quality_loose:ridge_delta:quality,non_tie_quality_loose,271,ok,quality,32.20048899755501,31.12890922959573,168,50,57,61,3.6000000000000005,0.04372461613796284,,
none:lgbm_delta:delta_quality,none,1311,ok,delta_quality,32.18826405867971,32.082379862700236,249,62,88,99,3.499999999999999,0.007588098474736836,,
none:lgbm_delta:far_guard:delta_quality,none,1311,ok,delta_quality,32.18826405867971,32.12051868802441,249,62,88,99,3.499999999999999,0.007588098474736836,median,2.0
non_tie:random_forest_delta:delta_quality,non_tie,509,ok,delta_quality,32.18826405867971,31.983218916857364,227,56,79,92,3.4999999999999987,0.03262901266781051,,
non_tie:random_forest_delta:far_guard:delta_quality,non_tie,509,ok,delta_quality,32.18826405867971,32.013729977116704,227,56,79,92,3.4999999999999987,0.03262901266781049,p75,3.0
