cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
recall,0.4,787,clean,lgbm,-0.022255006439618964,32.34172387490465,32.24938875305624,199,54,59,86,3.9999999999999982
linear,0.2,1049,delta_clean,lgbm,0.027996865260228515,32.173913043478265,32.24938875305623,200,55,64,81,3.999999999999998
geom,0.0,1311,delta_clean2,rf,-0.0002513135321144008,31.929824561403507,32.23716381418094,233,62,78,93,3.8999999999999986
linear,0.3,918,clean,lgbm,-0.017246161088311385,32.257818459191455,32.23716381418093,194,52,60,82,3.8999999999999986
recall,0.4,787,delta_clean,rf,0.0017469765284249305,32.24256292906178,32.23716381418093,240,63,84,93,3.899999999999997
linear,0.4,787,clean,lgbm,-0.014620862540962667,32.32646834477498,32.224938875305625,159,42,53,64,3.799999999999999
recall,0.3,918,clean,gbrt,-0.023971856268912625,32.25019069412662,32.224938875305625,175,43,58,74,3.799999999999999
recall,0.3,918,delta_clean,gbrt,0.030647011316093254,32.12814645308924,32.21271393643032,197,49,65,83,3.6999999999999984
linear,0.3,918,clean,xgb,-0.019904952614179124,32.29595728451564,32.20048899755501,202,54,63,85,3.600000000000001
linear,0.2,1049,delta_clean,gbrt,0.03763238418420783,32.33409610983982,32.18826405867971,186,48,61,77,3.499999999999998
linear,0.4,787,delta_clean,rf,0.00305776585736382,32.082379862700236,32.18826405867971,206,55,67,84,3.499999999999999
recall,0.1,1180,clean,xgb,-0.02638517449833923,32.20442410373761,32.18826405867971,233,60,81,92,3.499999999999998
linear,0.2,1049,delta_clean2,lgbm,0.020885243982942975,31.960335621662857,32.1760391198044,217,57,71,89,3.399999999999997
linear,0.4,787,delta_clean2,lgbm,0.009483051252288243,31.983218916857364,32.163814180929094,248,60,89,99,3.3000000000000007
geom,0.2,1049,delta_clean,xgb,0.05967422301256211,31.891685736079328,32.15158924205379,147,41,51,55,3.199999999999999
recall,0.4,787,delta_clean2,xgb,0.06342638123639022,30.82379862700229,32.15158924205379,109,31,37,41,3.1999999999999993
linear,0.4,787,delta_clean2,gbrt,0.019657808419321392,31.990846681922196,32.13936430317849,203,51,64,88,3.1
linear,0.2,1049,delta_clean2,rf,0.007113989285161719,32.20442410373761,32.13936430317848,194,54,57,83,3.0999999999999988
geom,0.4,787,delta_clean2,xgb,0.10931615031595467,30.915331807780326,32.13936430317848,60,20,16,24,3.0999999999999996
recall,0.0,1311,clean,rf,-0.03514044246339987,31.990846681922196,32.13936430317848,237,58,86,93,3.0999999999999988
recall,0.0,1311,clean,xgb,-0.01062226665642443,32.20442410373761,32.13936430317848,167,46,49,72,3.1
recall,0.0,1311,delta_clean2,gbrt,0.019229576232417354,32.051868802440886,32.13936430317848,208,52,71,85,3.1
recall,0.4,787,clean,gbrt,-0.023901657902386887,32.158657513348594,32.13936430317848,192,49,63,80,3.0999999999999983
linear,0.1,1180,delta_clean,xgb,0.05119745631383944,31.91456903127384,32.12713936430318,182,47,65,70,2.9999999999999982
geom,0.3,918,delta_clean,xgb,0.05383401571572585,31.876430205949656,32.12713936430318,158,42,55,61,2.9999999999999982
linear,0.0,1311,delta_clean2,rf,-0.0010834815692990585,31.975591151792525,32.11491442542787,225,59,74,92,2.9000000000000004
linear,0.2,1049,delta_clean,xgb,0.06181080502611173,32.06712433257056,32.11491442542787,154,41,53,60,2.8999999999999986
geom,0.1,1180,delta_clean,xgb,0.03017516082883636,31.708619374523263,32.11491442542787,212,53,77,82,2.8999999999999972
linear,0.0,1311,clean,rf,-0.03157892049484046,31.96796338672769,32.10268948655257,199,53,61,85,2.800000000000001
geom,0.2,1049,clean,rf,-0.03003665903167455,31.952707856598018,32.10268948655257,200,55,56,89,2.8000000000000007
recall,0.0,1311,delta_clean,xgb,0.05416498502975778,31.876430205949656,32.10268948655257,173,45,63,65,2.7999999999999967
recall,0.2,1049,clean,xgb,-0.01444119167856024,32.13577421815408,32.10268948655257,160,44,44,72,2.7999999999999994
recall,0.2,1049,delta_clean,gbrt,0.03098476890184834,32.265446224256294,32.10268948655257,210,52,72,86,2.800000000000001
recall,0.3,918,delta_clean,rf,-0.0016030861422448974,32.0976353928299,32.10268948655257,220,60,70,90,2.799999999999998
linear,0.0,1311,clean,dt2,-0.013948907534637737,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
linear,0.2,1049,clean,dt2,-0.01525797406188991,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
linear,0.3,918,clean,dt2,-0.01648376918356687,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
linear,0.4,787,clean,dt2,-0.016357811327357953,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
linear,0.4,787,delta_clean,dt2,0.038437248393720744,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
geom,0.0,1311,clean,dt2,-0.014228173999874827,30.72463768115942,32.090464547677264,144,40,43,61,2.6999999999999984
